singer;genre;album;year;track;;duration;collection;;;;
Paul McCartney;Pop/Rock;New;2013;Save Us;0:02:39;159;Coll12;;Coll1;3285;0:54:45
Paul McCartney;Pop/Rock;New;2013;Alligator;0:03:27;207;Coll1;;Coll2;3513;0:58:33
Paul McCartney;Pop/Rock;New;2013;On My Way to Work;0:03:43;223;Coll3;;Coll3;3629;1:00:29
Paul McCartney;Pop/Rock;New;2013;Queenie Eye;0:03:48;228;Coll33;;Coll9;2079;0:34:39
Paul McCartney;Pop/Rock;New;2013;Early Days;0:04:08;248;Coll52;;Coll12;1017;0:16:57
Paul McCartney;Pop/Rock;New;2013;New;0:02:57;177;;;Coll21;3638;1:00:38
Paul McCartney;Pop/Rock;New;2013;Appreciate;0:04:29;269;Coll3;;Coll33;2203;0:36:43
Paul McCartney;Pop/Rock;New;2013;Everybody Out There;0:03:21;201;Coll3;;Coll52;2131;0:35:31
Paul McCartney;Pop/Rock;New;2013;Hosanna;0:03:30;210;Coll2;;;;
Paul McCartney;Pop/Rock;New;2013;I Can Bet;0:03:22;202;Coll52;;;;
Paul McCartney;Pop/Rock;New;2013;Looking at Her;0:03:05;185;Coll3;;;;
Paul McCartney;Pop/Rock;New;2013;Road;0:07:40;460;;;;;
Paul McCartney;Pop/Rock;Egypt Station;2018;Opening Station;0:00:41;41;Coll2;;;;
Paul McCartney;Pop/Rock;Egypt Station;2018;I Don`t Know;0:04:26;266;Coll52;;;;
Paul McCartney;Pop/Rock;Egypt Station;2018;Come On to Me;0:04:10;250;Coll21;;;;
Paul McCartney;Pop/Rock;Egypt Station;2018;Happy With You;0:03:34;214;Coll2;;;;
Paul McCartney;Pop/Rock;Egypt Station;2018;Who Cares;0:03:13;193;Coll1;;;;
Paul McCartney;Pop/Rock;Egypt Station;2018;Fuh You;0:03:23;203;;;;;
Paul McCartney;Pop/Rock;Egypt Station;2018;Confidante;0:03:04;184;Coll12;;;;
Paul McCartney;Pop/Rock;Egypt Station;2018;People Want Peace;0:02:59;179;Coll9;;;;
Paul McCartney;Pop/Rock;Egypt Station;2018;Hand in Hand;0:02:35;155;Coll2;;;;
Paul McCartney;Pop/Rock;Egypt Station;2018;Dominoes;0:05:02;302;Coll52;;;;
Paul McCartney;Pop/Rock;Egypt Station;2018;Back in Brazil;0:03:20;200;Coll3;;;;
Paul McCartney;Pop/Rock;Egypt Station;2018;Do It Now;0:03:17;197;;;;;
Paul McCartney;Pop/Rock;Egypt Station;2018;Caesar Rock;0:03:29;209;Coll9;;;;
Paul McCartney;Pop/Rock;Egypt Station;2018;Despite Repeated Warnings;0:06:57;417;Coll1;;;;
Paul McCartney;Pop/Rock;Egypt Station;2018;Station II;0:00:46;46;Coll52;;;;
Paul McCartney;Pop/Rock;Egypt Station;2018;Hunt You Down/Naked/C-Link;0:06:22;382;Coll2;;;;
Rod Stewart;Blues;Time;2014;She Makes Me Happy;0:03:44;224;Coll1;;;;
Rod Stewart;Blues;Time;2014;Can`t Stop Me Now;0:04:26;266;;;;;
Rod Stewart;Blues;Time;2014;It`s Over;0:04:19;259;Coll1;;;;
Rod Stewart;Blues;Time;2014;Brighton Beach;0:04:25;265;Coll3;;;;
Rod Stewart;Blues;Time;2014;Beautiful Morning;0:03:59;239;Coll21;;;;
Rod Stewart;Blues;Time;2014;Live the Life;0:04:26;266;Coll1;;;;
Rod Stewart;Blues;Time;2014;Finest Woman;0:03:54;234;Coll3;;;;
Rod Stewart;Blues;Time;2014;Time;0:04:27;267;;;;;
Rod Stewart;Blues;Time;2014;Picture In a Frame;0:02:53;173;Coll9;;;;
Rod Stewart;Blues;Time;2014;Sexual Religion;0:04:45;285;Coll9;;;;
Rod Stewart;Blues;Time;2014;Make Love To Me Tonight;0:03:45;225;Coll21;;;;
Rod Stewart;Blues;Time;2014;Pure Love;0:05:11;311;Coll9;;;;
Sting;Folk;The Last Ship;2013;The Last Ship;0:03:50;230;Coll2;;;;
Sting;Folk;The Last Ship;2013;Dead Man`s Boots;0:03:29;209;;;;;
Sting;Folk;The Last Ship;2013;And Yet;0:03:52;232;Coll33;;;;
Sting;Folk;The Last Ship;2013;August Winds;0:03:17;197;Coll1;;;;
Sting;Folk;The Last Ship;2013;Language of Birds;0:03:30;210;Coll33;;;;
Sting;Folk;The Last Ship;2013;Practical Arrangement;0:03:19;199;Coll33;;;;
Sting;Folk;The Last Ship;2013;The Night the Pugilist Learned How to Dance;0:04:13;253;Coll33;;;;
Sting;Folk;The Last Ship;2013;Ballad of the Great Eastern;0:05:14;314;;;;;
Sting;Folk;The Last Ship;2013;What Have We Got?;0:03:34;214;Coll52;;;;
Sting;Folk;The Last Ship;2013;I Love Her But She Loves Someone Else;0:03:41;221;Coll1;;;;
Sting;Folk;The Last Ship;2013;So to Speak;0:04:06;246;Coll33;;;;
Sting;Folk;The Last Ship;2013;The Last Ship (Reprise);0:03:19;199;Coll1;;;;
Michael Bubl?;Jazz;Love;2018;When I Fall in Love;0:04:03;243;Coll2;;;;
Michael Bubl?;Jazz;Love;2018;I Only Have Eyes for You;0:03:22;202;;;;;
Michael Bubl?;Jazz;Love;2018;Love You Anymore;0:03:02;182;Coll21;;;;
Michael Bubl?;Jazz;Love;2018;La Vie en Rose;0:03:49;229;Coll12;;;;
Michael Bubl?;Jazz;Love;2018;My Funny Valentine;0:04:25;265;Coll3;;;;
Michael Bubl?;Jazz;Love;2018;Such a Night;0:03:17;197;Coll9;;;;
Michael Bubl?;Jazz;Love;2018;Forever Now;0:03:40;220;Coll3;;;;
Michael Bubl?;Jazz;Love;2018;Help Me Make It Through the Night;0:03:42;222;;;;;
Michael Bubl?;Jazz;Love;2018;Unforgettable;0:03:08;188;Coll9;;;;
Michael Bubl?;Jazz;Love;2018;When You`re Smiling;0:02:50;170;Coll21;;;;
Michael Bubl?;Jazz;Love;2018;Where or When;0:03:05;185;Coll3;;;;
Chris Brown;R&B;F.A.M.E.;2011;Deuces;0:04:36;276;Coll1;;;;
Chris Brown;R&B;F.A.M.E.;2011;Up To You;0:04:07;247;Coll3;;;;
Chris Brown;R&B;F.A.M.E.;2011;No BS;0:04:07;247;;;;;
Chris Brown;R&B;F.A.M.E.;2011;Look at Me Now;0:03:42;222;Coll21;;;;
Chris Brown;R&B;F.A.M.E.;2011;She Ain`t You;0:04:08;248;Coll1;;;;
Chris Brown;R&B;F.A.M.E.;2011;Say It with Me;0:03:01;181;Coll2;;;;
Chris Brown;R&B;F.A.M.E.;2011;Yeah 3x;0:04:01;241;Coll33;;;;
Chris Brown;R&B;F.A.M.E.;2011;Next to You;0:04:25;265;Coll33;;;;
Chris Brown;R&B;F.A.M.E.;2011;All Back;0:04:26;266;;;;;
Chris Brown;R&B;F.A.M.E.;2011;Wet the Bed;0:04:26;266;Coll2;;;;
Chris Brown;R&B;F.A.M.E.;2011;Oh My Love;0:04:44;284;Coll52;;;;
Chris Brown;R&B;F.A.M.E.;2011;Should`ve Kissed You;0:04:24;264;Coll2;;;;
Chris Brown;R&B;F.A.M.E.;2011;Beautiful People;0:03:46;226;Coll52;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;Opening Jam (Mystery Train);0:01:52;112;Coll1;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;Twenty Days and Twenty Nights;0:03:37;217;;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;I`ve Lost You;0:04:02;242;Coll2;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;I Was Born About Ten Thousand Years Ago;0:03:32;212;Coll21;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;The Sound of Your Cry;0:04:30;270;Coll21;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;The Fool;0:02:31;151;Coll52;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;A Hundred Years From Now;0:01:35;95;Coll3;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;Little Cabin on the Hill;0:01:49;109;;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;Cindy, Cindy;0:03:13;193;Coll3;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;Bridge Over Troubled Water;0:04:31;271;Coll21;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;How the Web Was Woven;0:03:31;211;Coll1;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;Got My Mojo Working/Keep Your Hands Off of It;0:05:29;329;Coll33;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;It`s Your Baby, You Rock It;0:03:10;190;Coll2;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;Stranger in the Crowd;0:04:31;271;;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;I`ll Never Know;0:02:25;145;Coll9;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;Mary in the Morning;0:04:16;256;Coll21;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;It Ain`t No Big Thing (But It`s Growing);0:02:51;171;Coll2;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;You Don`t Have to Say You Love Me;0:02:38;158;Coll3;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;Just Pretend;0:04:06;246;Coll3;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;This Is Our Dance;0:03:15;195;;;;;
Elvis Presley;Country;From Elvis in Nashville;2020;Life;0:03:12;192;Coll52;;;;
Jenny Hval;Avant-Garde;The Practice of Love;2019;Lions;0:03:57;237;Coll21;;;;
Jenny Hval;Avant-Garde;The Practice of Love;2019;High Alice;0:04:46;286;Coll3;;;;
Jenny Hval;Avant-Garde;The Practice of Love;2019;Accident;0:04:10;250;Coll12;;;;
Jenny Hval;Avant-Garde;The Practice of Love;2019;The Practice of Love;0:03:03;183;Coll9;;;;
Jenny Hval;Avant-Garde;The Practice of Love;2019;Ashes to Ashes;0:04:15;255;Coll1;;;;
Jenny Hval;Avant-Garde;The Practice of Love;2019;Thumbsucker;0:04:15;255;;;;;
Jenny Hval;Avant-Garde;The Practice of Love;2019;Six Red Cannas;0:04:07;247;Coll2;;;;
Jenny Hval;Avant-Garde;The Practice of Love;2019;Ordinary;0:05:17;317;Coll21;;;;
Mariza;International;Mariza Canta Am?lia;2020;Com Que Voz;0:04:16;256;Coll2;;;;
Mariza;International;Mariza Canta Am?lia;2020;Barco Negro;0:04:44;284;Coll21;;;;
Mariza;International;Mariza Canta Am?lia;2020;L?grima;0:03:40;220;Coll21;;;;
Mariza;International;Mariza Canta Am?lia;2020;Formiga Bossa Nova;0:03:19;199;;;;;
Mariza;International;Mariza Canta Am?lia;2020;Estranha Forma de Vida;0:03:15;195;Coll12;;;;
Mariza;International;Mariza Canta Am?lia;2020;Cravos de Papel;0:02:37;157;Coll3;;;;
Mariza;International;Mariza Canta Am?lia;2020;Povo que Lavas no Rio;0:04:43;283;Coll21;;;;
Mariza;International;Mariza Canta Am?lia;2020;Foi Deus;0:03:41;221;Coll2;;;;
Mariza;International;Mariza Canta Am?lia;2020;Gaivota;0:03:29;209;Coll9;;;;
Mariza;International;Mariza Canta Am?lia;2020;Fado Portugu?s;0:04:49;289;;;;;
